iter	Accuracy	Logloss
0	0.7834036568	0.6642583413
1	0.8073136428	0.6387073588
2	0.805907173	0.6146988115
3	0.8087201125	0.5957249763
4	0.8143459916	0.5764043977
5	0.8073136428	0.5622490503
6	0.8298171589	0.5479265342
7	0.8284106892	0.5359244551
8	0.8326300985	0.5250649707
9	0.8241912799	0.5176195502
10	0.8241912799	0.5083956547
11	0.8255977496	0.4981154217
12	0.8241912799	0.4898390063
13	0.8241912799	0.4826455195
14	0.8241912799	0.4765284456
15	0.8270042194	0.4697573186
16	0.8270042194	0.4634816245
17	0.8241912799	0.4594628341
18	0.8298171589	0.453693665
19	0.8298171589	0.4489995171
20	0.8312236287	0.4441468297
21	0.835443038	0.4390594304
22	0.8382559775	0.4360671018
23	0.835443038	0.4323340835
24	0.8368495077	0.4284184867
25	0.8382559775	0.4258834062
26	0.8382559775	0.4234264615
27	0.8382559775	0.420681929
28	0.8368495077	0.4177032191
29	0.8368495077	0.4149948565
30	0.8382559775	0.4129462632
31	0.8396624473	0.4111173925
32	0.841068917	0.40950469
33	0.8368495077	0.4082745328
34	0.8396624473	0.4072715191
35	0.8382559775	0.4058157194
36	0.8382559775	0.4048602996
37	0.8382559775	0.4033566662
38	0.8382559775	0.4030816043
39	0.8368495077	0.4020269147
40	0.8382559775	0.4005210593
41	0.8382559775	0.399257069
42	0.8368495077	0.3979037478
43	0.8368495077	0.3965862657
44	0.8368495077	0.3953035155
45	0.8368495077	0.3943784442
46	0.8368495077	0.3934370298
47	0.8382559775	0.3923592259
48	0.8382559775	0.3915228201
49	0.8382559775	0.3903386652
50	0.8382559775	0.3892452537
51	0.841068917	0.3881020877
52	0.841068917	0.3870964297
53	0.841068917	0.3864966747
54	0.8424753868	0.3852430698
55	0.8396624473	0.3845720162
56	0.841068917	0.3835915165
57	0.841068917	0.3834985772
58	0.8424753868	0.3822926795
59	0.841068917	0.381860137
60	0.841068917	0.3811824844
61	0.841068917	0.3800998336
62	0.841068917	0.3800943221
63	0.841068917	0.3784179169
64	0.841068917	0.3776219027
65	0.841068917	0.3767352851
66	0.841068917	0.3759561509
67	0.841068917	0.3753067072
68	0.8424753868	0.3748280461
69	0.841068917	0.3743576641
70	0.8424753868	0.3733107661
71	0.841068917	0.3730267376
72	0.841068917	0.3723835903
73	0.8424753868	0.3715356744
74	0.8424753868	0.370785087
75	0.8424753868	0.3699444732
76	0.8452883263	0.368502977
77	0.8438818565	0.3678327837
78	0.8438818565	0.3677128584
79	0.8452883263	0.3672063862
80	0.8452883263	0.3667589398
81	0.8438818565	0.3657658333
82	0.8452883263	0.3657299297
83	0.8452883263	0.3648969745
84	0.8452883263	0.3647204346
85	0.8466947961	0.364199406
86	0.8481012658	0.3633301554
87	0.8481012658	0.362918751
88	0.8481012658	0.3623748952
89	0.8481012658	0.362178215
90	0.8481012658	0.3612906658
91	0.8466947961	0.3604676777
92	0.8466947961	0.3581727099
93	0.8466947961	0.3576801387
94	0.8495077356	0.3566331851
