iter	Passed	Remaining
0	100	9414
1	115	5384
2	122	3748
3	140	3198
4	147	2656
5	153	2280
6	157	1985
7	161	1760
8	166	1587
9	168	1434
10	172	1318
11	176	1224
12	179	1133
13	193	1120
14	195	1041
15	198	978
16	201	924
17	204	872
18	206	827
19	209	783
20	211	743
21	214	711
22	216	676
23	218	646
24	221	621
25	224	594
26	228	574
27	231	553
28	233	532
29	237	514
30	240	495
31	243	479
32	247	465
33	250	450
34	254	436
35	258	423
36	262	410
37	265	398
38	267	383
39	270	372
40	274	361
41	278	351
42	281	340
43	285	330
44	288	320
45	292	311
46	295	301
47	298	291
48	301	282
49	304	274
50	307	265
51	311	257
52	315	249
53	318	241
54	322	234
55	325	226
56	328	218
57	329	210
58	332	202
59	333	194
60	335	187
61	338	179
62	339	172
63	340	165
64	342	158
65	344	151
66	346	144
67	348	138
68	350	132
69	353	126
70	356	120
71	357	114
72	360	108
73	364	103
74	368	98
75	372	93
76	375	87
77	380	82
78	382	77
79	386	72
80	389	67
81	393	62
82	396	57
83	399	52
84	403	47
85	406	42
86	409	37
87	413	32
88	416	28
89	420	23
90	423	18
91	427	13
92	430	9
93	434	4
94	438	0
